"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","3","0.0-0.0","10495","digit-span","false","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","8285","0.0-1.0","10495","digit-span","true","0","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","9651","0.0-2.0-0.0","10495","digit-span","true","0","","1362.7300000516698","<div class = centerbox><p class = center-block-text>Welcome to the experiment. This experiment will take less than 5 minutes. Press <strong>enter</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","12754","0.0-2.0-1.0","10495","digit-span","true","0","","3102.309999987483","","","instruction","[{""page_index"":0,""viewing_time"":3101.269999984652}]","","","","","","","","","","","","","",""
"html-keyboard-response","4","14762","0.0-3.0-0.0","10495","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","5","18174","0.0-3.0-1.0","10495","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","6","21028","0.0-3.0-2.0","10495","digit-span","true","0","","2850","","","response","","","","","","2850","1000","test","2,9","2","SubmitButton","2850","9,6","forward","false"
"html-keyboard-response","7","22030","0.0-3.0-3.0","10495","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","8","25437","0.0-3.0-4.0","10495","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
"single-stim-button","9","27133","0.0-3.0-5.0","10495","digit-span","true","0","","1693","","","response","","","","","","1693","1000","test","4,6","2","SubmitButton","1693","5,6","forward","false"
