"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","2306","0.0-0.0","1267","digit-span","true","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","7801","0.0-1.0","1267","digit-span","true","0","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","13515","0.0-2.0-0.0","1267","digit-span","true","0","","5713.0999999940395","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","20337","0.0-2.0-1.0","1267","digit-span","true","0","","6821.800000011921","","","instruction","[{""page_index"":0,""viewing_time"":6821.600000008941}]","","","","","","","","","","","","","",""
"instructions","4","29226","0.0-2.0-2.0","1267","digit-span","true","0","","7885.4000000059605","","","instruction","[{""page_index"":0,""viewing_time"":7885.20000000298}]","","","","","","","","","","","","","",""
"html-keyboard-response","5","31228","0.0-3.0-0.0","1267","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","34632","0.0-3.0-1.0","1267","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","7","40163","0.0-3.0-2.0","1267","digit-span","true","0","","5529","","","response","","","","","","5529","1000","test","2,9","2","SubmitButton","5529","2,9","forward","true"
"html-keyboard-response","8","41165","0.0-3.0-3.0","1267","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","9","44568","0.0-3.0-4.0","1267","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
"single-stim-button","10","48092","0.0-3.0-5.0","1267","digit-span","true","0","","3524","","","response","","","","","","3524","1000","test","4,6","2","SubmitButton","3524","4,6","forward","true"
"html-keyboard-response","11","49093","0.0-4.0-0.0","1267","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","12","53695","0.0-4.0-1.0","1267","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","3,8,6","3","","","","",""
"single-stim-button","13","58104","0.0-4.0-2.0","1267","digit-span","true","0","","4408","","","response","","","","","","4408","1000","test","3,8,6","3","SubmitButton","4408","3,8,6","forward","true"
"html-keyboard-response","14","59106","0.0-4.0-3.0","1267","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","15","63710","0.0-4.0-4.0","1267","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","6,1,2","3","","","","",""
