"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_id","full_screen","focus_shifts","success"
"pavlovia","0","2544","0.0-0.0","1233","digit-span","true","0",""
"fullscreen","1","7455","0.0-1.0","1233","digit-span","true","0","true"
