"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","1970","0.0-0.0","1104","digit-span","true","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","21739","0.0-1.0","1104","digit-span","true","0","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","27224","0.0-2.0-0.0","1104","digit-span","true","0","","5481.700000047684","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","32204","0.0-2.0-1.0","1104","digit-span","true","0","","4979.899999976158","","","instruction","[{""page_index"":0,""viewing_time"":4979.399999976158}]","","","","","","","","","","","","","",""
"instructions","4","36838","0.0-2.0-2.0","1104","digit-span","true","0","","3628.7000000476837","","","instruction","[{""page_index"":0,""viewing_time"":3628.2999999523163}]","","","","","","","","","","","","","",""
"html-keyboard-response","5","38865","0.0-3.0-0.0","1104","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","42277","0.0-3.0-1.0","1104","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","7","47100","0.0-3.0-2.0","1104","digit-span","true","0","","4819","","","response","","","","","","4819","1000","test","2,9","2","SubmitButton","4819","2,9","forward","true"
"html-keyboard-response","8","48102","0.0-3.0-3.0","1104","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","9","51512","0.0-3.0-4.0","1104","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
"single-stim-button","10","56369","0.0-3.0-5.0","1104","digit-span","true","0","","4854","","","response","","","","","","4854","1000","test","4,6","2","SubmitButton","4854","4,6","forward","true"
"html-keyboard-response","11","57376","0.0-4.0-0.0","1104","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","12","61997","0.0-4.0-1.0","1104","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","3,8,6","3","","","","",""
"single-stim-button","13","67147","0.0-4.0-2.0","1104","digit-span","true","0","","5148","","","response","","","","","","5148","1000","test","3,8,6","3","SubmitButton","5148","3,8,6","forward","true"
"html-keyboard-response","14","68151","0.0-4.0-3.0","1104","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","15","72768","0.0-4.0-4.0","1104","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","6,1,2","3","","","","",""
"single-stim-button","16","76981","0.0-4.0-5.0","1104","digit-span","true","0","","4211","","","response","","","","","","4211","1000","test","6,1,2","3","SubmitButton","4211","6,1,2","forward","true"
