"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"html-keyboard-response","35","174074","0.0-11.0","2002","digit-span","true","0","","13172.79999923706","<div class = centerbox><p class = block-text>Now, you will see some numbers, but this time you will enter them <strong>backward</strong>.<br><br>For example, you see <strong>“1—5”</strong>, and you will enter <strong>“5—1”</strong>.<br><br><br>Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","start_reverse","","","","","","","","","","","","","","",""
"html-keyboard-response","36","175093","0.0-12.0-0.0","2002","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","37","178507","0.0-12.0-1.0","2002","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","8,2","2","","","","",""
"single-stim-button","38","181588","0.0-12.0-2.0","2002","digit-span","true","0","","3078","","","response","","","","","","3078","1000","test","8,2","2","SubmitButton","3078","2,8","practice","true"
"html-keyboard-response","39","191594","0.0-12.0-3.0","2002","digit-span","true","0","","null","<div class = centerbox><div class = center-block-text><span style=""color:green"">Correct!</span></div></div>","null","feedback","","","","","","","","","","","","","","",""
"html-keyboard-response","40","192604","0.0-12.0-4.0","2002","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","41","196015","0.0-12.0-5.0","2002","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","5,6","2","","","","",""
"single-stim-button","42","199359","0.0-12.0-6.0","2002","digit-span","true","0","","3341","","","response","","","","","","3341","1000","test","5,6","2","SubmitButton","3341","6,5","practice","true"
"html-keyboard-response","43","200364","0.0-13.0-0.0","2002","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","44","203776","0.0-13.0-1.0","2002","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,5","2","","","","",""
"single-stim-button","45","206366","0.0-13.0-2.0","2002","digit-span","true","0","","2588","","","response","","","","","","2588","1000","test","2,5","2","SubmitButton","2588","5,2","reverse","true"
"html-keyboard-response","46","207384","0.0-13.0-3.0","2002","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","47","210794","0.0-13.0-4.0","2002","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","6,3","2","","","","",""
"single-stim-button","48","214153","0.0-13.0-5.0","2002","digit-span","true","0","","3357","","","response","","","","","","3357","1000","test","6,3","2","SubmitButton","3357","3,6","reverse","true"
"html-keyboard-response","49","215163","0.0-14.0-0.0","2002","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","50","219776","0.0-14.0-1.0","2002","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","5,7,4","3","","","","",""
"single-stim-button","51","224359","0.0-14.0-2.0","2002","digit-span","true","0","","4581","","","response","","","","","","4581","1000","test","5,7,4","3","SubmitButton","4581","4,7,5","reverse","true"
"html-keyboard-response","52","225366","0.0-14.0-3.0","2002","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","53","229980","0.0-14.0-4.0","2002","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","2,5,9","3","","","","",""
"single-stim-button","54","234273","0.0-14.0-5.0","2002","digit-span","true","0","","4289","","","response","","","","","","4289","1000","test","2,5,9","3","SubmitButton","4289","9,5,2","reverse","true"
"html-keyboard-response","55","235284","0.0-15.0-0.0","2002","digit-span","true","0","","null","<div class = centerbox><div class = center-text>4 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","56","241091","0.0-15.0-1.0","2002","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000,1000,1000]","4800","0","test","7,2,9,6","4","","","","",""
"single-stim-button","57","246348","0.0-15.0-2.0","2002","digit-span","true","0","","5253","","","response","","","","","","5253","1000","test","7,2,9,6","4","SubmitButton","5253","6,9,7,2","reverse","false"
"html-keyboard-response","58","247360","0.0-15.0-3.0","2002","digit-span","true","0","","null","<div class = centerbox><div class = center-text>4 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","59","253176","0.0-15.0-4.0","2002","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>""]","[-1]","none","[1000,1000,1000,1000]","4800","0","test","8,4,9,3","4","","","","",""
"single-stim-button","60","263356","0.0-15.0-5.0","2002","digit-span","true","0","","10176","","","response","","","","","","10176","1000","test","8,4,9,3","4","SubmitButton","10176","3,9,4,3","reverse","false"
"image-keyboard-response","61","267192","0.0-20.0","2002","digit-span","true","0","","3831.7000007629395","img/trophy2.jpeg","13","end","","","","","","","","","","","","","","",""
