"trial_type","trial_index","time_elapsed","internal_node_id","subject","order","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","2624","0.0-0.0","2085","1","digit-span","true","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","7204","0.0-1.0","2085","1","digit-span","true","0","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","12314","0.0-2.0-0.0","2085","1","digit-span","true","0","","5108.70000000298","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","21820","0.0-2.0-1.0","2085","1","digit-span","true","0","","9505.79999999702","","","instruction","[{""page_index"":0,""viewing_time"":9505.60000000149}]","","","","","","","","","","","","","",""
"instructions","4","29304","0.0-2.0-2.0","2085","1","digit-span","true","0","","6476.80000000447","","","instruction","[{""page_index"":0,""viewing_time"":6476.70000000298}]","","","","","","","","","","","","","",""
"html-keyboard-response","5","31313","0.0-3.0-0.0","2085","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","34716","0.0-3.0-1.0","2085","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","7","42065","0.0-3.0-2.0","2085","1","digit-span","true","0","","7348","","","response","","","","","","7348","1000","test","2,9","2","SubmitButton","7348","2,2,2,9","forward","false"
"html-keyboard-response","8","43066","0.0-3.0-3.0","2085","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","9","46468","0.0-3.0-4.0","2085","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
"single-stim-button","10","52110","0.0-3.0-5.0","2085","1","digit-span","true","0","","5640","","","response","","","","","","5640","1000","test","4,6","2","SubmitButton","5640","2,6","forward","false"
"html-keyboard-response","11","62879","0.0-11.0","2085","1","digit-span","true","0","","10768","<div class = centerbox><p class = block-text>Now, you will see some numbers, but this time you will enter them <strong>backward</strong>.<br><br>For example, you see <strong>“1—5”</strong>, and you will enter <strong>“5—1”</strong>.<br><br><br>Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","start_reverse","","","","","","","","","","","","","","",""
"html-keyboard-response","12","63880","0.0-12.0-0.0","2085","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","13","67282","0.0-12.0-1.0","2085","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","8,2","2","","","","",""
"single-stim-button","14","77863","0.0-12.0-2.0","2085","1","digit-span","true","0","","10581","","","response","","","","","","10581","1000","test","8,2","2","SubmitButton","10581","2,8,2","practice","false"
"html-keyboard-response","15","87869","0.0-12.0-3.0","2085","1","digit-span","true","0","","null","<div class = centerbox><div class = center-block-text><span style=""color:red"">No, you should enter ""2—8"".<br><br>You saw ""8—2"", so to enter it <strong>backward</strong>, you would press ""2—8"".</span></div></div>","null","feedback","","","","","","","","","","","","","","",""
"html-keyboard-response","16","88870","0.0-12.0-4.0","2085","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","17","92273","0.0-12.0-5.0","2085","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","5,6","2","","","","",""
"single-stim-button","18","99298","0.0-12.0-6.0","2085","1","digit-span","true","0","","7024","","","response","","","","","","7024","1000","test","5,6","2","SubmitButton","7024","6,5","practice","true"
"html-keyboard-response","19","100299","0.0-13.0-0.0","2085","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","20","103702","0.0-13.0-1.0","2085","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,5","2","","","","",""
"single-stim-button","21","109572","0.0-13.0-2.0","2085","1","digit-span","true","0","","5869","","","response","","","","","","5869","1000","test","2,5","2","SubmitButton","5869","5,2","reverse","true"
"html-keyboard-response","22","110574","0.0-13.0-3.0","2085","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","23","113977","0.0-13.0-4.0","2085","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","6,3","2","","","","",""
"single-stim-button","24","118339","0.0-13.0-5.0","2085","1","digit-span","true","0","","4362","","","response","","","","","","4362","1000","test","6,3","2","SubmitButton","4362","3,6","reverse","true"
"html-keyboard-response","25","119341","0.0-14.0-0.0","2085","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","26","123943","0.0-14.0-1.0","2085","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","5,7,4","3","","","","",""
