"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","1951","0.0-0.0","1145","digit-span","true","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","6388","0.0-1.0","1145","digit-span","true","0","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","15025","0.0-2.0-0.0","1145","digit-span","true","0","","8634.700000047684","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","21730","0.0-2.0-1.0","1145","digit-span","true","0","","6703.399999976158","","","instruction","[{""page_index"":0,""viewing_time"":6703}]","","","","","","","","","","","","","",""
"instructions","4","25273","0.0-2.0-2.0","1145","digit-span","true","0","","2539.2999999523163","","","instruction","[{""page_index"":0,""viewing_time"":2538.899999976158}]","","","","","","","","","","","","","",""
"html-keyboard-response","5","27282","0.0-3.0-0.0","1145","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","30692","0.0-3.0-1.0","1145","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","7","35634","0.0-3.0-2.0","1145","digit-span","true","0","","4940","","","response","","","","","","4940","1000","test","2,9","2","SubmitButton","4940","2,9","forward","true"
"html-keyboard-response","8","36637","0.0-3.0-3.0","1145","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","9","40044","0.0-3.0-4.0","1145","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
"single-stim-button","10","43228","0.0-3.0-5.0","1145","digit-span","true","0","","3182","","","response","","","","","","3182","1000","test","4,6","2","SubmitButton","3182","4,6","forward","true"
"html-keyboard-response","11","44230","0.0-4.0-0.0","1145","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","12","48837","0.0-4.0-1.0","1145","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","3,8,6","3","","","","",""
"single-stim-button","13","52974","0.0-4.0-2.0","1145","digit-span","true","0","","4134","","","response","","","","","","4134","1000","test","3,8,6","3","SubmitButton","4134","3,8,6","forward","true"
"html-keyboard-response","14","53976","0.0-4.0-3.0","1145","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
