"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits"
"pavlovia","0","2977","0.0-0.0","10501","digit-span","true","0","","","","","","","","","","","","","","",""
"fullscreen","1","17735","0.0-1.0","10501","digit-span","true","0","true","","","","","","","","","","","","","",""
"html-keyboard-response","2","19284","0.0-2.0-0.0","10501","digit-span","true","0","","1547.7000000476837","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","",""
"instructions","3","23164","0.0-2.0-1.0","10501","digit-span","true","0","","3879.5999999046326","","","instruction","[{""page_index"":0,""viewing_time"":3879.4000000953674}]","","","","","","","","",""
"instructions","4","29460","0.0-2.0-2.0","10501","digit-span","true","0","","5278.099999904633","","","instruction","[{""page_index"":0,""viewing_time"":5278}]","","","","","","","","",""
"html-keyboard-response","5","31480","0.0-3.0-0.0","10501","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","34895","0.0-3.0-1.0","10501","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2"
