"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","2540","0.0-0.0","768","digit-span","false","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","6302","0.0-1.0","768","digit-span","true","0","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","10229","0.0-2.0-0.0","768","digit-span","true","0","","3926.300000000003","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","29963","0.0-2.0-1.0","768","digit-span","true","0","","19734.100000000006","","","instruction","[{""page_index"":0,""viewing_time"":19733.79999999999}]","","","","","","","","","","","","","",""
"instructions","4","35664","0.0-2.0-2.0","768","digit-span","true","0","","4694.799999999988","","","instruction","[{""page_index"":0,""viewing_time"":4694.1999999999825}]","","","","","","","","","","","","","",""
"html-keyboard-response","5","37673","0.0-3.0-0.0","768","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","41079","0.0-3.0-1.0","768","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","7","45884","0.0-3.0-2.0","768","digit-span","true","0","","4801","","","response","","","","","","4801","1000","test","2,9","2","SubmitButton","4801","2,9","forward","true"
"html-keyboard-response","8","46890","0.0-3.0-3.0","768","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","9","50297","0.0-3.0-4.0","768","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
"single-stim-button","10","55614","0.0-3.0-5.0","768","digit-span","true","0","","5315","","","response","","","","","","5315","1000","test","4,6","2","SubmitButton","5315","4,6","forward","true"
"html-keyboard-response","11","56621","0.0-4.0-0.0","768","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","12","61231","0.0-4.0-1.0","768","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","3,8,6","3","","","","",""
"single-stim-button","13","66464","0.0-4.0-2.0","768","digit-span","true","0","","5231","","","response","","","","","","5231","1000","test","3,8,6","3","SubmitButton","5231","3,8,6","forward","true"
"html-keyboard-response","14","67470","0.0-4.0-3.0","768","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","15","72082","0.0-4.0-4.0","768","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","6,1,2","3","","","","",""
"single-stim-button","16","75965","0.0-4.0-5.0","768","digit-span","true","0","","3882","","","response","","","","","","3882","1000","test","6,1,2","3","SubmitButton","3882","6,1,2","forward","true"
