"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","2526","0.0-0.0","1263","digit-span","true","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","46029598","0.0-1.0","1263","digit-span","true","1","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","46096124","0.0-2.0-0.0","1263","digit-span","true","1","","66519.09999990463","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","46112289","0.0-2.0-1.0","1263","digit-span","true","0","","16164.900000095367","","","instruction","[{""page_index"":0,""viewing_time"":16164.60000038147}]","","","","","","","","","","","","","",""
"instructions","4","46115646","0.0-2.0-2.0","1263","digit-span","true","0","","2353.4000000953674","","","instruction","[{""page_index"":0,""viewing_time"":2353.199999809265}]","","","","","","","","","","","","","",""
"html-keyboard-response","5","46117659","0.0-3.0-0.0","1263","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","46121066","0.0-3.0-1.0","1263","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","7","46124691","0.0-3.0-2.0","1263","digit-span","true","0","","3621","","","response","","","","","","3621","1000","test","2,9","2","SubmitButton","3621","2,9","forward","true"
"html-keyboard-response","8","46125708","0.0-3.0-3.0","1263","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","9","46129116","0.0-3.0-4.0","1263","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
"single-stim-button","10","46136638","0.0-3.0-5.0","1263","digit-span","true","0","","7521","","","response","","","","","","7521","1000","test","4,6","2","SubmitButton","7521","4,6","forward","true"
"html-keyboard-response","11","46137646","0.0-4.0-0.0","1263","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","12","46142256","0.0-4.0-1.0","1263","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","3,8,6","3","","","","",""
"single-stim-button","13","46148190","0.0-4.0-2.0","1263","digit-span","true","0","","5933","","","response","","","","","","5933","1000","test","3,8,6","3","SubmitButton","5933","3,8,6","forward","true"
"html-keyboard-response","14","46149192","0.0-4.0-3.0","1263","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","15","46153800","0.0-4.0-4.0","1263","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","6,1,2","3","","","","",""
"single-stim-button","16","46157937","0.0-4.0-5.0","1263","digit-span","true","0","","4135","","","response","","","","","","4135","1000","test","6,1,2","3","SubmitButton","4135","6,1,2","forward","true"
