"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","2123","0.0-0.0","1210","digit-span","false","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","7292","0.0-1.0","1210","digit-span","true","0","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","63072","0.0-2.0-0.0","1210","digit-span","true","0","","55779.80000001192","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","191122","0.0-2.0-1.0","1210","digit-span","true","0","","128053","","","instruction","[{""page_index"":0,""viewing_time"":128052.80000001192}]","","","","","","","","","","","","","",""
"instructions","4","208908","0.0-2.0-2.0","1210","digit-span","true","0","","16785","","","instruction","[{""page_index"":0,""viewing_time"":16784.90000000596}]","","","","","","","","","","","","","",""
"html-keyboard-response","5","210918","0.0-3.0-0.0","1210","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","214321","0.0-3.0-1.0","1210","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","7","220774","0.0-3.0-2.0","1210","digit-span","true","0","","6451","","","response","","","","","","6451","1000","test","2,9","2","SubmitButton","6451","2,9","forward","true"
"html-keyboard-response","8","221777","0.0-3.0-3.0","1210","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","9","225185","0.0-3.0-4.0","1210","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
