"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","2449","0.0-0.0","1278","digit-span","true","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","72537","0.0-1.0","1278","digit-span","true","0","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","76644","0.0-2.0-0.0","1278","digit-span","true","0","","4104.899999976158","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","89970","0.0-2.0-1.0","1278","digit-span","true","0","","13324.899999976158","","","instruction","[{""page_index"":0,""viewing_time"":13324.5}]","","","","","","","","","","","","","",""
"instructions","4","103426","0.0-2.0-2.0","1278","digit-span","true","0","","12454.699999928474","","","instruction","[{""page_index"":0,""viewing_time"":12454.399999976158}]","","","","","","","","","","","","","",""
"html-keyboard-response","5","105430","0.0-3.0-0.0","1278","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","108837","0.0-3.0-1.0","1278","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","7","111116","0.0-3.0-2.0","1278","digit-span","true","0","","2276","","","response","","","","","","2276","1000","test","2,9","2","SubmitButton","2276","2,9","forward","true"
"html-keyboard-response","8","112118","0.0-3.0-3.0","1278","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","9","115521","0.0-3.0-4.0","1278","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
"single-stim-button","10","118623","0.0-3.0-5.0","1278","digit-span","true","0","","3100","","","response","","","","","","3100","1000","test","4,6","2","SubmitButton","3100","4,6","forward","true"
"html-keyboard-response","11","119625","0.0-4.0-0.0","1278","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","12","124229","0.0-4.0-1.0","1278","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","3,8,6","3","","","","",""
