"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits"
"pavlovia","0","2295","0.0-0.0","100501","digit-span","true","0","","","","","","","","","","","","","","",""
"fullscreen","1","4473","0.0-1.0","100501","digit-span","true","0","true","","","","","","","","","","","","","",""
"html-keyboard-response","2","6011","0.0-2.0-0.0","100501","digit-span","true","0","","1536.7999999523163","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","",""
"instructions","3","15035","0.0-2.0-1.0","100501","digit-span","true","0","","9023.600000143051","","","instruction","[{""page_index"":0,""viewing_time"":9023.5}]","","","","","","","","",""
"instructions","4","23282","0.0-2.0-2.0","100501","digit-span","true","0","","7246.800000190735","","","instruction","[{""page_index"":0,""viewing_time"":7246.700000047684}]","","","","","","","","",""
"html-keyboard-response","5","25295","0.0-3.0-0.0","100501","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","28700","0.0-3.0-1.0","100501","digit-span","true","1","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2"
