"trial_type","trial_index","time_elapsed","internal_node_id","subject","order","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","2796","0.0-0.0","2048","2","digit-span","false","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","12040","0.0-1.0","2048","2","digit-span","true","0","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","26580","0.0-2.0-0.0","2048","2","digit-span","true","0","","14535","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","42954","0.0-2.0-1.0","2048","2","digit-span","true","0","","16373","","","instruction","[{""page_index"":0,""viewing_time"":16373}]","","","","","","","","","","","","","",""
"instructions","4","45554","0.0-2.0-2.0","2048","2","digit-span","true","0","","1593","","","instruction","[{""page_index"":0,""viewing_time"":1592}]","","","","","","","","","","","","","",""
"html-keyboard-response","5","47568","0.0-3.0-0.0","2048","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","50977","0.0-3.0-1.0","2048","2","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","7","77356","0.0-3.0-2.0","2048","2","digit-span","true","0","","26377","","","response","","","","","","26377","1000","test","2,9","2","SubmitButton","26377","1,2,3,4,5,6,7,8,9","forward","false"
"html-keyboard-response","8","78360","0.0-3.0-3.0","2048","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","9","81774","0.0-3.0-4.0","2048","2","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
"single-stim-button","10","84962","0.0-3.0-5.0","2048","2","digit-span","true","0","","3185","","","response","","","","","","3185","1000","test","4,6","2","SubmitButton","3185","4,6","forward","true"
"html-keyboard-response","11","85964","0.0-4.0-0.0","2048","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
