"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","2151","0.0-0.0","1088","digit-span","false","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","20280","0.0-1.0","1088","digit-span","true","0","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","23894","0.0-2.0-0.0","1088","digit-span","true","0","","3612.0999999940395","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","43676","0.0-2.0-1.0","1088","digit-span","true","0","","19780.90000000596","","","instruction","[{""page_index"":0,""viewing_time"":19780.5}]","","","","","","","","","","","","","",""
"instructions","4","49457","0.0-2.0-2.0","1088","digit-span","true","0","","4775.20000000298","","","instruction","[{""page_index"":0,""viewing_time"":4774.9000000059605}]","","","","","","","","","","","","","",""
"html-keyboard-response","5","51472","0.0-3.0-0.0","1088","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","54883","0.0-3.0-1.0","1088","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","7","60523","0.0-3.0-2.0","1088","digit-span","true","0","","5636","","","response","","","","","","5636","1000","test","2,9","2","SubmitButton","5636","2","forward","false"
"html-keyboard-response","8","61529","0.0-3.0-3.0","1088","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","9","64937","0.0-3.0-4.0","1088","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
"single-stim-button","10","81709","0.0-3.0-5.0","1088","digit-span","true","0","","16770","","","response","","","","","","16770","1000","test","4,6","2","SubmitButton","16770","4,9","forward","false"
"html-keyboard-response","11","92620","0.0-11.0","1088","digit-span","true","0","","10908.40000000596","<div class = centerbox><p class = block-text>Now, you will see some numbers, but this time you will enter them <strong>backward</strong>.<br><br>For example, you see <strong>“1—5”</strong>, and you will enter <strong>“5—1”</strong>.<br><br><br>Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","start_reverse","","","","","","","","","","","","","","",""
"html-keyboard-response","12","93622","0.0-12.0-0.0","1088","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","13","97040","0.0-12.0-1.0","1088","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","8,2","2","","","","",""
"single-stim-button","14","177221","0.0-12.0-2.0","1088","digit-span","true","0","","80178","","","response","","","","","","80178","1000","test","8,2","2","SubmitButton","80178","9,1,2","practice","false"
"html-keyboard-response","15","187229","0.0-12.0-3.0","1088","digit-span","true","0","","null","<div class = centerbox><div class = center-block-text><span style=""color:red"">No, you should enter ""2—8"".<br><br>You saw ""8—2"", so to enter it <strong>backward</strong>, you would press ""2—8"".</span></div></div>","null","feedback","","","","","","","","","","","","","","",""
"html-keyboard-response","16","188233","0.0-12.0-4.0","1088","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","17","191650","0.0-12.0-5.0","1088","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","5,6","2","","","","",""
"single-stim-button","18","209158","0.0-12.0-6.0","1088","digit-span","true","0","","17506","","","response","","","","","","17506","1000","test","5,6","2","SubmitButton","17506","6,5","practice","true"
"html-keyboard-response","19","210164","0.0-13.0-0.0","1088","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","20","213579","0.0-13.0-1.0","1088","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,5","2","","","","",""
"single-stim-button","21","223972","0.0-13.0-2.0","1088","digit-span","true","0","","10391","","","response","","","","","","10391","1000","test","2,5","2","SubmitButton","10391","1,5","reverse","false"
"html-keyboard-response","22","224980","0.0-13.0-3.0","1088","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","23","228393","0.0-13.0-4.0","1088","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","6,3","2","","","","",""
"single-stim-button","24","235739","0.0-13.0-5.0","1088","digit-span","true","0","","7344","","","response","","","","","","7344","1000","test","6,3","2","SubmitButton","7344","3,6","reverse","true"
"html-keyboard-response","25","236741","0.0-14.0-0.0","1088","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","26","241358","0.0-14.0-1.0","1088","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","5,7,4","3","","","","",""
"single-stim-button","27","250092","0.0-14.0-2.0","1088","digit-span","true","0","","8733","","","response","","","","","","8733","1000","test","5,7,4","3","SubmitButton","8733","7,5,4","reverse","false"
"html-keyboard-response","28","251097","0.0-14.0-3.0","1088","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","29","255712","0.0-14.0-4.0","1088","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","2,5,9","3","","","","",""
"single-stim-button","30","264186","0.0-14.0-5.0","1088","digit-span","true","0","","8472","","","response","","","","","","8472","1000","test","2,5,9","3","SubmitButton","8472","9,5,2","reverse","true"
"html-keyboard-response","31","265192","0.0-15.0-0.0","1088","digit-span","true","0","","null","<div class = centerbox><div class = center-text>4 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","32","271009","0.0-15.0-1.0","1088","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000,1000,1000]","4800","0","test","7,2,9,6","4","","","","",""
"single-stim-button","33","284133","0.0-15.0-2.0","1088","digit-span","true","0","","13122","","","response","","","","","","13122","1000","test","7,2,9,6","4","SubmitButton","13122","6,2,9,7","reverse","false"
"html-keyboard-response","34","285138","0.0-15.0-3.0","1088","digit-span","true","0","","null","<div class = centerbox><div class = center-text>4 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","35","290950","0.0-15.0-4.0","1088","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>""]","[-1]","none","[1000,1000,1000,1000]","4800","0","test","8,4,9,3","4","","","","",""
"single-stim-button","36","367322","0.0-15.0-5.0","1088","digit-span","true","0","","76369","","","response","","","","","","76369","1000","test","8,4,9,3","4","SubmitButton","76369","3,9,4,8","reverse","true"
"html-keyboard-response","37","368327","0.0-16.0-0.0","1088","digit-span","true","0","","null","<div class = centerbox><div class = center-text>5 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","38","375339","0.0-16.0-1.0","1088","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>""]","[-1]","none","[1000,1000,1000,1000,1000]","6000","0","test","4,1,3,5,7","5","","","","",""
"single-stim-button","39","387429","0.0-16.0-2.0","1088","digit-span","true","0","","12089","","","response","","","","","","12089","1000","test","4,1,3,5,7","5","SubmitButton","12089","8,4,1,9,3","reverse","false"
"html-keyboard-response","40","388435","0.0-16.0-3.0","1088","digit-span","true","0","","null","<div class = centerbox><div class = center-text>5 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","41","395448","0.0-16.0-4.0","1088","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","none","[1000,1000,1000,1000,1000]","6000","0","test","9,7,8,5,2","5","","","","",""
"single-stim-button","42","408587","0.0-16.0-5.0","1088","digit-span","true","0","","13137","","","response","","","","","","13137","1000","test","9,7,8,5,2","5","SubmitButton","13137","9,7,8,5,9","reverse","false"
"image-keyboard-response","43","422196","0.0-20.0","1088","digit-span","true","0","","13605.89999999106","img/trophy2.jpeg","13","end","","","","","","","","","","","","","","",""
