"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","2325","0.0-0.0","1266","digit-span","true","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","8297","0.0-1.0","1266","digit-span","true","0","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","17944","0.0-2.0-0.0","1266","digit-span","true","0","","9645.700000047684","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","20335","0.0-2.0-1.0","1266","digit-span","true","0","","2389.7999999523163","","","instruction","[{""page_index"":0,""viewing_time"":2389.399999976158}]","","","","","","","","","","","","","",""
"instructions","4","37117","0.0-2.0-2.0","1266","digit-span","true","0","","15780.5","","","instruction","[{""page_index"":0,""viewing_time"":15780.199999928474}]","","","","","","","","","","","","","",""
"html-keyboard-response","5","39123","0.0-3.0-0.0","1266","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","42534","0.0-3.0-1.0","1266","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","7","47596","0.0-3.0-2.0","1266","digit-span","true","0","","5058","","","response","","","","","","5058","1000","test","2,9","2","SubmitButton","5058","9,2","forward","false"
"html-keyboard-response","8","48604","0.0-3.0-3.0","1266","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","9","52014","0.0-3.0-4.0","1266","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
"single-stim-button","10","54528","0.0-3.0-5.0","1266","digit-span","true","0","","2512","","","response","","","","","","2512","1000","test","4,6","2","SubmitButton","2512","6,4","forward","false"
"html-keyboard-response","11","65008","0.0-11.0","1266","digit-span","true","0","","10477.699999928474","<div class = centerbox><p class = block-text>Now, you will see some numbers, but this time you will enter them <strong>backward</strong>.<br><br>For example, you see <strong>“1—5”</strong>, and you will enter <strong>“5—1”</strong>.<br><br><br>Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","start_reverse","","","","","","","","","","","","","","",""
"html-keyboard-response","12","66011","0.0-12.0-0.0","1266","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","13","69424","0.0-12.0-1.0","1266","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","8,2","2","","","","",""
"single-stim-button","14","73564","0.0-12.0-2.0","1266","digit-span","true","0","","4139","","","response","","","","","","4139","1000","test","8,2","2","SubmitButton","4139","8,2","practice","false"
"html-keyboard-response","15","83567","0.0-12.0-3.0","1266","digit-span","true","0","","null","<div class = centerbox><div class = center-block-text><span style=""color:red"">No, you should enter ""2—8"".<br><br>You saw ""8—2"", so to enter it <strong>backward</strong>, you would press ""2—8"".</span></div></div>","null","feedback","","","","","","","","","","","","","","",""
"html-keyboard-response","16","84571","0.0-12.0-4.0","1266","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","17","87981","0.0-12.0-5.0","1266","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","5,6","2","","","","",""
"single-stim-button","18","91299","0.0-12.0-6.0","1266","digit-span","true","0","","3317","","","response","","","","","","3317","1000","test","5,6","2","SubmitButton","3317","6,5","practice","true"
"html-keyboard-response","19","92303","0.0-13.0-0.0","1266","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
