"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","1934","0.0-0.0","1079","digit-span","true","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","5473","0.0-1.0","1079","digit-span","true","0","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","17502","0.0-2.0-0.0","1079","digit-span","true","0","","12026.60000000149","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","19605","0.0-2.0-1.0","1079","digit-span","true","0","","2102.800000000745","","","instruction","[{""page_index"":0,""viewing_time"":2102.60000000149}]","","","","","","","","","","","","","",""
"instructions","4","23869","0.0-2.0-2.0","1079","digit-span","true","0","","3262.89999999851","","","instruction","[{""page_index"":0,""viewing_time"":3262.699999999255}]","","","","","","","","","","","","","",""
"html-keyboard-response","5","25891","0.0-3.0-0.0","1079","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","29309","0.0-3.0-1.0","1079","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","7","32019","0.0-3.0-2.0","1079","digit-span","true","0","","2710","","","response","","","","","","2710","1000","test","2,9","2","SubmitButton","2710","2,9","forward","true"
"html-keyboard-response","8","33021","0.0-3.0-3.0","1079","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","9","36423","0.0-3.0-4.0","1079","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
"single-stim-button","10","38293","0.0-3.0-5.0","1079","digit-span","true","0","","1868","","","response","","","","","","1868","1000","test","4,6","2","SubmitButton","1868","4,6","forward","true"
"html-keyboard-response","11","39294","0.0-4.0-0.0","1079","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","12","43896","0.0-4.0-1.0","1079","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","3,8,6","3","","","","",""
"single-stim-button","13","49693","0.0-4.0-2.0","1079","digit-span","true","0","","5796","","","response","","","","","","5796","1000","test","3,8,6","3","SubmitButton","5796","3,8,6","forward","true"
