"trial_type","trial_index","time_elapsed","internal_node_id","subject","order","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","2811","0.0-0.0","2125","1","digit-span","true","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","7157","0.0-1.0","2125","1","digit-span","true","0","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","17402","0.0-2.0-0.0","2125","1","digit-span","true","0","","10238.5","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","36289","0.0-2.0-1.0","2125","1","digit-span","true","0","","18885.700000001118","","","instruction","[{""page_index"":0,""viewing_time"":18884.800000000745}]","","","","","","","","","","","","","",""
"instructions","4","48941","0.0-2.0-2.0","2125","1","digit-span","true","0","","11646.900000000373","","","instruction","[{""page_index"":0,""viewing_time"":11646}]","","","","","","","","","","","","","",""
"html-keyboard-response","5","50953","0.0-3.0-0.0","2125","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","54374","0.0-3.0-1.0","2125","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","7","58334","0.0-3.0-2.0","2125","1","digit-span","true","0","","3950","","","response","","","","","","3950","1000","test","2,9","2","SubmitButton","3950","2,9","forward","true"
"html-keyboard-response","8","59340","0.0-3.0-3.0","2125","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","9","62749","0.0-3.0-4.0","2125","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
"single-stim-button","10","66130","0.0-3.0-5.0","2125","1","digit-span","true","0","","3372","","","response","","","","","","3372","1000","test","4,6","2","SubmitButton","3372","4,6","forward","true"
"html-keyboard-response","11","67135","0.0-4.0-0.0","2125","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","12","71745","0.0-4.0-1.0","2125","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","3,8,6","3","","","","",""
"single-stim-button","13","75282","0.0-4.0-2.0","2125","1","digit-span","true","0","","3534","","","response","","","","","","3534","1000","test","3,8,6","3","SubmitButton","3534","3,8,6","forward","true"
"html-keyboard-response","14","76288","0.0-4.0-3.0","2125","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","15","80901","0.0-4.0-4.0","2125","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","6,1,2","3","","","","",""
"single-stim-button","16","84077","0.0-4.0-5.0","2125","1","digit-span","true","0","","3166","","","response","","","","","","3166","1000","test","6,1,2","3","SubmitButton","3166","6,1,2","forward","true"
"html-keyboard-response","17","85081","0.0-5.0-0.0","2125","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>4 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","18","90892","0.0-5.0-1.0","2125","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>""]","[-1]","none","[1000,1000,1000,1000]","4800","0","test","3,4,1,7","4","","","","",""
"single-stim-button","19","95771","0.0-5.0-2.0","2125","1","digit-span","true","0","","4873","","","response","","","","","","4873","1000","test","3,4,1,7","4","SubmitButton","4873","3,4,1,7","forward","true"
"html-keyboard-response","20","96782","0.0-5.0-3.0","2125","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>4 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","21","102597","0.0-5.0-4.0","2125","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>""]","[-1]","none","[1000,1000,1000,1000]","4800","0","test","6,1,5,8","4","","","","",""
"single-stim-button","22","106264","0.0-5.0-5.0","2125","1","digit-span","true","0","","3654","","","response","","","","","","3654","1000","test","6,1,5,8","4","SubmitButton","3654","6,1,5,8","forward","true"
"html-keyboard-response","23","107268","0.0-6.0-0.0","2125","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>5 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","24","114279","0.0-6.0-1.0","2125","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000,1000,1000,1000]","6000","0","test","8,4,2,3,9","5","","","","",""
"single-stim-button","25","120486","0.0-6.0-2.0","2125","1","digit-span","true","0","","6201","","","response","","","","","","6201","1000","test","8,4,2,3,9","5","SubmitButton","6201","8,4,2,3,9","forward","true"
"html-keyboard-response","26","121491","0.0-6.0-3.0","2125","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>5 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","27","128500","0.0-6.0-4.0","2125","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000,1000,1000,1000]","6000","0","test","5,2,1,8,6","5","","","","",""
"single-stim-button","28","145968","0.0-6.0-5.0","2125","1","digit-span","true","0","","17460","","","response","","","","","","17460","1000","test","5,2,1,8,6","5","SubmitButton","17460","5,1,2,6,8","forward","false"
"html-keyboard-response","29","146972","0.0-7.0-0.0","2125","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>6 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","30","155183","0.0-7.0-1.0","2125","1","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>""]","[-1]","none","[1000,1000,1000,1000,1000,1000]","7200","0","test","3,8,9,1,7,4","6","","","","",""
"single-stim-button","31","171805","0.0-7.0-2.0","2125","1","digit-span","true","0","","16617","","","response","","","","","","16617","1000","test","3,8,9,1,7,4","6","SubmitButton","16617","3,8,6,9,1,4","forward","false"
"html-keyboard-response","32","172810","0.0-7.0-3.0","2125","1","digit-span","true","0","","null","<div class = centerbox><div class = center-text>6 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
