"trial_type","trial_index","time_elapsed","internal_node_id","subject","order","exp_id","full_screen","focus_shifts","success"
"pavlovia","0","2619","0.0-0.0","2041","1","digit-span","false","0",""
"fullscreen","1","60322","0.0-1.0","2041","1","digit-span","true","1","true"
