"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","2526","0.0-0.0","10500","digit-span","false","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","9346","0.0-1.0","10500","digit-span","true","0","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","120656","0.0-2.0-0.0","10500","digit-span","true","0","","111309","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","126887","0.0-2.0-1.0","10500","digit-span","true","0","","6230.999999999971","","","instruction","[{""page_index"":0,""viewing_time"":6230.999999999971}]","","","","","","","","","","","","","",""
"instructions","4","130149","0.0-2.0-2.0","10500","digit-span","true","0","","2260","","","instruction","[{""page_index"":0,""viewing_time"":2260}]","","","","","","","","","","","","","",""
"html-keyboard-response","5","132153","0.0-3.0-0.0","10500","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","135558","0.0-3.0-1.0","10500","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","7","138128","0.0-3.0-2.0","10500","digit-span","true","0","","2568","","","response","","","","","","2568","1000","test","2,9","2","SubmitButton","2568","2,9","forward","true"
"html-keyboard-response","8","139130","0.0-3.0-3.0","10500","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","9","142532","0.0-3.0-4.0","10500","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
"single-stim-button","10","144965","0.0-3.0-5.0","10500","digit-span","true","0","","2432","","","response","","","","","","2432","1000","test","4,6","2","SubmitButton","2432","4,6","forward","true"
"html-keyboard-response","11","145967","0.0-4.0-0.0","10500","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","12","150570","0.0-4.0-1.0","10500","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","3,8,6","3","","","","",""
"single-stim-button","13","153436","0.0-4.0-2.0","10500","digit-span","true","0","","2865","","","response","","","","","","2865","1000","test","3,8,6","3","SubmitButton","2865","3,8,6","forward","true"
"html-keyboard-response","14","154437","0.0-4.0-3.0","10500","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","15","159040","0.0-4.0-4.0","10500","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","6,1,2","3","","","","",""
"single-stim-button","16","161731","0.0-4.0-5.0","10500","digit-span","true","0","","2689","","","response","","","","","","2689","1000","test","6,1,2","3","SubmitButton","2689","6,1,2","forward","true"
"html-keyboard-response","17","162732","0.0-5.0-0.0","10500","digit-span","true","0","","null","<div class = centerbox><div class = center-text>4 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","18","168536","0.0-5.0-1.0","10500","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>""]","[-1]","none","[1000,1000,1000,1000]","4800","0","test","3,4,1,7","4","","","","",""
