"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","3024","0.0-0.0","1238","digit-span","true","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","14937","0.0-1.0","1238","digit-span","true","1","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","19424","0.0-2.0-0.0","1238","digit-span","true","0","","4484.799999952316","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","86260","0.0-2.0-1.0","1238","digit-span","true","0","","66835.20000004768","","","instruction","[{""page_index"":0,""viewing_time"":66834.80000007153}]","","","","","","","","","","","","","",""
"instructions","4","113704","0.0-2.0-2.0","1238","digit-span","true","0","","26440.899999976158","","","instruction","[{""page_index"":0,""viewing_time"":26440.5}]","","","","","","","","","","","","","",""
"html-keyboard-response","5","115710","0.0-3.0-0.0","1238","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","119122","0.0-3.0-1.0","1238","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","7","135685","0.0-3.0-2.0","1238","digit-span","true","0","","16560","","","response","","","","","","16560","1000","test","2,9","2","SubmitButton","16560","2,9","forward","true"
"html-keyboard-response","8","136686","0.0-3.0-3.0","1238","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","9","140090","0.0-3.0-4.0","1238","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
"single-stim-button","10","145716","0.0-3.0-5.0","1238","digit-span","true","0","","5625","","","response","","","","","","5625","1000","test","4,6","2","SubmitButton","5625","4,6","forward","true"
"html-keyboard-response","11","146719","0.0-4.0-0.0","1238","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","12","151335","0.0-4.0-1.0","1238","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","3,8,6","3","","","","",""
"single-stim-button","13","156591","0.0-4.0-2.0","1238","digit-span","true","0","","5255","","","response","","","","","","5255","1000","test","3,8,6","3","SubmitButton","5255","3,8,6","forward","true"
"html-keyboard-response","14","157593","0.0-4.0-3.0","1238","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","15","162198","0.0-4.0-4.0","1238","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","6,1,2","3","","","","",""
"single-stim-button","16","167735","0.0-4.0-5.0","1238","digit-span","true","0","","5536","","","response","","","","","","5536","1000","test","6,1,2","3","SubmitButton","5536","6,1,2","forward","true"
"html-keyboard-response","17","168737","0.0-5.0-0.0","1238","digit-span","true","0","","null","<div class = centerbox><div class = center-text>4 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","18","174542","0.0-5.0-1.0","1238","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>""]","[-1]","none","[1000,1000,1000,1000]","4800","0","test","3,4,1,7","4","","","","",""
"single-stim-button","19","181174","0.0-5.0-2.0","1238","digit-span","true","0","","6631","","","response","","","","","","6631","1000","test","3,4,1,7","4","SubmitButton","6631","3,4,1,7","forward","true"
"html-keyboard-response","20","182177","0.0-5.0-3.0","1238","digit-span","true","0","","null","<div class = centerbox><div class = center-text>4 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","21","187982","0.0-5.0-4.0","1238","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>""]","[-1]","none","[1000,1000,1000,1000]","4800","0","test","6,1,5,8","4","","","","",""
"single-stim-button","22","194253","0.0-5.0-5.0","1238","digit-span","true","0","","6269","","","response","","","","","","6269","1000","test","6,1,5,8","4","SubmitButton","6269","6,5,1,8","forward","false"
"html-keyboard-response","23","195255","0.0-6.0-0.0","1238","digit-span","true","0","","null","<div class = centerbox><div class = center-text>5 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","24","202259","0.0-6.0-1.0","1238","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000,1000,1000,1000]","6000","0","test","8,4,2,3,9","5","","","","",""
"single-stim-button","25","209472","0.0-6.0-2.0","1238","digit-span","true","0","","7210","","","response","","","","","","7210","1000","test","8,4,2,3,9","5","SubmitButton","7210","8,4,3,2,9","forward","false"
"html-keyboard-response","26","210475","0.0-6.0-3.0","1238","digit-span","true","0","","null","<div class = centerbox><div class = center-text>5 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","27","217479","0.0-6.0-4.0","1238","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000,1000,1000,1000]","6000","0","test","5,2,1,8,6","5","","","","",""
"single-stim-button","28","227148","0.0-6.0-5.0","1238","digit-span","true","0","","9666","","","response","","","","","","9666","1000","test","5,2,1,8,6","5","SubmitButton","9666","5,1,2,8,6","forward","false"
"html-keyboard-response","29","256048","0.0-11.0","1238","digit-span","true","0","","28899.299999952316","<div class = centerbox><p class = block-text>Now, you will see some numbers, but this time you will enter them <strong>backward</strong>.<br><br>For example, you see <strong>“1—5”</strong>, and you will enter <strong>“5—1”</strong>.<br><br><br>Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","start_reverse","","","","","","","","","","","","","","",""
"html-keyboard-response","30","257051","0.0-12.0-0.0","1238","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","31","260456","0.0-12.0-1.0","1238","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","8,2","2","","","","",""
"single-stim-button","32","264325","0.0-12.0-2.0","1238","digit-span","true","0","","3868","","","response","","","","","","3868","1000","test","8,2","2","SubmitButton","3868","2,8","practice","true"
"html-keyboard-response","33","274328","0.0-12.0-3.0","1238","digit-span","true","0","","null","<div class = centerbox><div class = center-block-text><span style=""color:green"">Correct!</span></div></div>","null","feedback","","","","","","","","","","","","","","",""
"html-keyboard-response","34","275331","0.0-12.0-4.0","1238","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","35","278743","0.0-12.0-5.0","1238","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","5,6","2","","","","",""
"single-stim-button","36","282370","0.0-12.0-6.0","1238","digit-span","true","0","","3626","","","response","","","","","","3626","1000","test","5,6","2","SubmitButton","3626","6,5","practice","true"
"html-keyboard-response","37","283373","0.0-13.0-0.0","1238","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","38","286778","0.0-13.0-1.0","1238","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,5","2","","","","",""
"single-stim-button","39","291615","0.0-13.0-2.0","1238","digit-span","true","0","","4836","","","response","","","","","","4836","1000","test","2,5","2","SubmitButton","4836","5,2","reverse","true"
"html-keyboard-response","40","292617","0.0-13.0-3.0","1238","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","41","296021","0.0-13.0-4.0","1238","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","6,3","2","","","","",""
"single-stim-button","42","299663","0.0-13.0-5.0","1238","digit-span","true","0","","3639","","","response","","","","","","3639","1000","test","6,3","2","SubmitButton","3639","3,6","reverse","true"
"html-keyboard-response","43","300664","0.0-14.0-0.0","1238","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","44","305268","0.0-14.0-1.0","1238","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","5,7,4","3","","","","",""
"single-stim-button","45","310408","0.0-14.0-2.0","1238","digit-span","true","0","","5138","","","response","","","","","","5138","1000","test","5,7,4","3","SubmitButton","5138","4,7,5","reverse","true"
"html-keyboard-response","46","311411","0.0-14.0-3.0","1238","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","47","316016","0.0-14.0-4.0","1238","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","2,5,9","3","","","","",""
"single-stim-button","48","322342","0.0-14.0-5.0","1238","digit-span","true","0","","6324","","","response","","","","","","6324","1000","test","2,5,9","3","SubmitButton","6324","9,5,2","reverse","true"
"html-keyboard-response","49","323344","0.0-15.0-0.0","1238","digit-span","true","0","","null","<div class = centerbox><div class = center-text>4 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
