"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","1624","0.0-0.0","1014","digit-span","false","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","14837","0.0-1.0","1014","digit-span","true","0","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","19513","0.0-2.0-0.0","1014","digit-span","true","0","","4675.5","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","23417","0.0-2.0-1.0","1014","digit-span","true","0","","3903.400000002235","","","instruction","[{""page_index"":0,""viewing_time"":3903.2000000029802}]","","","","","","","","","","","","","",""
"instructions","4","29042","0.0-2.0-2.0","1014","digit-span","true","0","","4620.89999999851","","","instruction","[{""page_index"":0,""viewing_time"":4620.800000000745}]","","","","","","","","","","","","","",""
"html-keyboard-response","5","31048","0.0-3.0-0.0","1014","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","34454","0.0-3.0-1.0","1014","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","7","38639","0.0-3.0-2.0","1014","digit-span","true","0","","4184","","","response","","","","","","4184","1000","test","2,9","2","SubmitButton","4184","2,9","forward","true"
"html-keyboard-response","8","39642","0.0-3.0-3.0","1014","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","9","43049","0.0-3.0-4.0","1014","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
"single-stim-button","10","49270","0.0-3.0-5.0","1014","digit-span","true","0","","6219","","","response","","","","","","6219","1000","test","4,6","2","SubmitButton","6219","4,6","forward","true"
"html-keyboard-response","11","50271","0.0-4.0-0.0","1014","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","12","54880","0.0-4.0-1.0","1014","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","3,8,6","3","","","","",""
"single-stim-button","13","61296","0.0-4.0-2.0","1014","digit-span","true","0","","6415","","","response","","","","","","6415","1000","test","3,8,6","3","SubmitButton","6415","3,8,6","forward","true"
"html-keyboard-response","14","62297","0.0-4.0-3.0","1014","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","15","66901","0.0-4.0-4.0","1014","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","6,1,2","3","","","","",""
"single-stim-button","16","71445","0.0-4.0-5.0","1014","digit-span","true","0","","4544","","","response","","","","","","4544","1000","test","6,1,2","3","SubmitButton","4544","6,1,2","forward","true"
"html-keyboard-response","17","72451","0.0-5.0-0.0","1014","digit-span","true","0","","null","<div class = centerbox><div class = center-text>4 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
