"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","2009","0.0-0.0","1027","digit-span","false","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","9009","0.0-1.0","1027","digit-span","true","0","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","14428","0.0-2.0-0.0","1027","digit-span","true","0","","5417.800000011921","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","26681","0.0-2.0-1.0","1027","digit-span","true","0","","12252","","","instruction","[{""page_index"":0,""viewing_time"":12251.699999988079}]","","","","","","","","","","","","","",""
"instructions","4","35073","0.0-2.0-2.0","1027","digit-span","true","0","","7391.800000011921","","","instruction","[{""page_index"":0,""viewing_time"":7391.699999988079}]","","","","","","","","","","","","","",""
"html-keyboard-response","5","37079","0.0-3.0-0.0","1027","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","40486","0.0-3.0-1.0","1027","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","7","44400","0.0-3.0-2.0","1027","digit-span","true","0","","3912","","","response","","","","","","3912","1000","test","2,9","2","SubmitButton","3912","2,9","forward","true"
"html-keyboard-response","8","45401","0.0-3.0-3.0","1027","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","9","48805","0.0-3.0-4.0","1027","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
"single-stim-button","10","57247","0.0-3.0-5.0","1027","digit-span","true","0","","8441","","","response","","","","","","8441","1000","test","4,6","2","SubmitButton","8441","4,6","forward","true"
"html-keyboard-response","11","58249","0.0-4.0-0.0","1027","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","12","62858","0.0-4.0-1.0","1027","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","3,8,6","3","","","","",""
"single-stim-button","13","71838","0.0-4.0-2.0","1027","digit-span","true","0","","8980","","","response","","","","","","8980","1000","test","3,8,6","3","SubmitButton","8980","3,8,6","forward","true"
