"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_id","full_screen","focus_shifts","success"
"pavlovia","0","3550","0.0-0.0","566","digit-span","false","0",""
"fullscreen","1","8485","0.0-1.0","566","digit-span","true","0","true"
