"trial_type","trial_index","time_elapsed","internal_node_id","subject","order","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","2423","0.0-0.0","2018","2","digit-span","false","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","6835","0.0-1.0","2018","2","digit-span","true","0","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","10970","0.0-2.0-0.0","2018","2","digit-span","true","0","","4133.90000000014","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","17508","0.0-2.0-1.0","2018","2","digit-span","true","0","","6537.59999999986","","","instruction","[{""page_index"":0,""viewing_time"":6537.5}]","","","","","","","","","","","","","",""
"instructions","4","28682","0.0-2.0-2.0","2018","2","digit-span","true","0","","10160.700000000186","","","instruction","[{""page_index"":0,""viewing_time"":10160.600000000093}]","","","","","","","","","","","","","",""
"html-keyboard-response","5","30711","0.0-3.0-0.0","2018","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","34125","0.0-3.0-1.0","2018","2","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","7","36126","0.0-3.0-2.0","2018","2","digit-span","true","0","","2000","","","response","","","","","","2000","1000","test","2,9","2","SubmitButton","2000","2,9","forward","true"
"html-keyboard-response","8","37135","0.0-3.0-3.0","2018","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","9","40543","0.0-3.0-4.0","2018","2","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
"single-stim-button","10","42467","0.0-3.0-5.0","2018","2","digit-span","true","0","","1923","","","response","","","","","","1923","1000","test","4,6","2","SubmitButton","1923","4,6","forward","true"
"html-keyboard-response","11","43469","0.0-4.0-0.0","2018","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","12","48072","0.0-4.0-1.0","2018","2","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","3,8,6","3","","","","",""
"single-stim-button","13","51273","0.0-4.0-2.0","2018","2","digit-span","true","0","","3200","","","response","","","","","","3200","1000","test","3,8,6","3","SubmitButton","3200","3,8,6","forward","true"
