"trial_type","trial_index","time_elapsed","internal_node_id","subject","order","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","2713","0.0-0.0","2030","2","digit-span","true","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","9088","0.0-1.0","2030","2","digit-span","true","0","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","20423","0.0-2.0-0.0","2030","2","digit-span","true","0","","11333","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","33700","0.0-2.0-1.0","2030","2","digit-span","true","0","","13276.5","","","instruction","[{""page_index"":0,""viewing_time"":13276.100000023842}]","","","","","","","","","","","","","",""
"instructions","4","44931","0.0-2.0-2.0","2030","2","digit-span","true","0","","10227.899999976158","","","instruction","[{""page_index"":0,""viewing_time"":10227.799999952316}]","","","","","","","","","","","","","",""
"html-keyboard-response","5","46943","0.0-3.0-0.0","2030","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","50361","0.0-3.0-1.0","2030","2","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","7","61621","0.0-3.0-2.0","2030","2","digit-span","true","0","","11259","","","response","","","","","","11259","1000","test","2,9","2","SubmitButton","11259","2,9","forward","true"
"html-keyboard-response","8","62624","0.0-3.0-3.0","2030","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","9","66039","0.0-3.0-4.0","2030","2","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
"single-stim-button","10","69101","0.0-3.0-5.0","2030","2","digit-span","true","0","","3061","","","response","","","","","","3061","1000","test","4,6","2","SubmitButton","3061","4,6","forward","true"
"html-keyboard-response","11","70103","0.0-4.0-0.0","2030","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","12","74713","0.0-4.0-1.0","2030","2","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","3,8,6","3","","","","",""
"single-stim-button","13","79441","0.0-4.0-2.0","2030","2","digit-span","true","0","","4727","","","response","","","","","","4727","1000","test","3,8,6","3","SubmitButton","4727","3,8,6","forward","true"
"html-keyboard-response","14","80448","0.0-4.0-3.0","2030","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","15","85064","0.0-4.0-4.0","2030","2","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","6,1,2","3","","","","",""
"single-stim-button","16","88932","0.0-4.0-5.0","2030","2","digit-span","true","0","","3867","","","response","","","","","","3867","1000","test","6,1,2","3","SubmitButton","3867","6,1,2","forward","true"
"html-keyboard-response","17","89933","0.0-5.0-0.0","2030","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>4 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","18","95744","0.0-5.0-1.0","2030","2","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>""]","[-1]","none","[1000,1000,1000,1000]","4800","0","test","3,4,1,7","4","","","","",""
"single-stim-button","19","102571","0.0-5.0-2.0","2030","2","digit-span","true","0","","6826","","","response","","","","","","6826","1000","test","3,4,1,7","4","SubmitButton","6826","3,4,1,7","forward","true"
"html-keyboard-response","20","103575","0.0-5.0-3.0","2030","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>4 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","21","109392","0.0-5.0-4.0","2030","2","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>""]","[-1]","none","[1000,1000,1000,1000]","4800","0","test","6,1,5,8","4","","","","",""
"single-stim-button","22","113995","0.0-5.0-5.0","2030","2","digit-span","true","0","","4602","","","response","","","","","","4602","1000","test","6,1,5,8","4","SubmitButton","4602","6,1,5,8","forward","true"
"html-keyboard-response","23","114998","0.0-6.0-0.0","2030","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>5 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","24","122008","0.0-6.0-1.0","2030","2","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000,1000,1000,1000]","6000","0","test","8,4,2,3,9","5","","","","",""
"single-stim-button","25","127831","0.0-6.0-2.0","2030","2","digit-span","true","0","","5823","","","response","","","","","","5823","1000","test","8,4,2,3,9","5","SubmitButton","5823","8,4,2,3,9","forward","true"
"html-keyboard-response","26","128837","0.0-6.0-3.0","2030","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>5 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","27","135847","0.0-6.0-4.0","2030","2","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000,1000,1000,1000]","6000","0","test","5,2,1,8,6","5","","","","",""
"single-stim-button","28","141008","0.0-6.0-5.0","2030","2","digit-span","true","0","","5159","","","response","","","","","","5159","1000","test","5,2,1,8,6","5","SubmitButton","5159","5,2,1,6,8","forward","false"
"html-keyboard-response","29","142010","0.0-7.0-0.0","2030","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>6 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","30","150218","0.0-7.0-1.0","2030","2","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>3</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>1</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>""]","[-1]","none","[1000,1000,1000,1000,1000,1000]","7200","0","test","3,8,9,1,7,4","6","","","","",""
"single-stim-button","31","157663","0.0-7.0-2.0","2030","2","digit-span","true","0","","7445","","","response","","","","","","7445","1000","test","3,8,9,1,7,4","6","SubmitButton","7445","3,6,4,9,7","forward","false"
"html-keyboard-response","32","158669","0.0-7.0-3.0","2030","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>6 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","33","166879","0.0-7.0-4.0","2030","2","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>""]","[-1]","none","[1000,1000,1000,1000,1000,1000]","7200","0","test","7,9,6,4,8,3","6","","","","",""
"single-stim-button","34","182485","0.0-7.0-5.0","2030","2","digit-span","true","0","","15605","","","response","","","","","","15605","1000","test","7,9,6,4,8,3","6","SubmitButton","15605","7,4,6,4,8,3","forward","false"
"html-keyboard-response","35","196763","0.0-11.0","2030","2","digit-span","true","0","","14274.899999976158","<div class = centerbox><p class = block-text>Now, you will see some numbers, but this time you will enter them <strong>backward</strong>.<br><br>For example, you see <strong>“1—5”</strong>, and you will enter <strong>“5—1”</strong>.<br><br><br>Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","start_reverse","","","","","","","","","","","","","","",""
"html-keyboard-response","36","197767","0.0-12.0-0.0","2030","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","37","201183","0.0-12.0-1.0","2030","2","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","8,2","2","","","","",""
"single-stim-button","38","204277","0.0-12.0-2.0","2030","2","digit-span","true","0","","3092","","","response","","","","","","3092","1000","test","8,2","2","SubmitButton","3092","2,8","practice","true"
"html-keyboard-response","39","214279","0.0-12.0-3.0","2030","2","digit-span","true","0","","null","<div class = centerbox><div class = center-block-text><span style=""color:green"">Correct!</span></div></div>","null","feedback","","","","","","","","","","","","","","",""
"html-keyboard-response","40","215287","0.0-12.0-4.0","2030","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","41","218703","0.0-12.0-5.0","2030","2","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","5,6","2","","","","",""
"single-stim-button","42","222117","0.0-12.0-6.0","2030","2","digit-span","true","0","","3413","","","response","","","","","","3413","1000","test","5,6","2","SubmitButton","3413","6,5","practice","true"
"html-keyboard-response","43","223119","0.0-13.0-0.0","2030","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","44","226536","0.0-13.0-1.0","2030","2","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,5","2","","","","",""
"single-stim-button","45","229971","0.0-13.0-2.0","2030","2","digit-span","true","0","","3434","","","response","","","","","","3434","1000","test","2,5","2","SubmitButton","3434","5,2","reverse","true"
"html-keyboard-response","46","230976","0.0-13.0-3.0","2030","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","47","234391","0.0-13.0-4.0","2030","2","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>6</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","6,3","2","","","","",""
"single-stim-button","48","237183","0.0-13.0-5.0","2030","2","digit-span","true","0","","2790","","","response","","","","","","2790","1000","test","6,3","2","SubmitButton","2790","3,6","reverse","true"
"html-keyboard-response","49","238191","0.0-14.0-0.0","2030","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","50","242807","0.0-14.0-1.0","2030","2","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","5,7,4","3","","","","",""
"single-stim-button","51","246844","0.0-14.0-2.0","2030","2","digit-span","true","0","","4036","","","response","","","","","","4036","1000","test","5,7,4","3","SubmitButton","4036","4,7,5","reverse","true"
"html-keyboard-response","52","247848","0.0-14.0-3.0","2030","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","53","252463","0.0-14.0-4.0","2030","2","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>5</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000,1000]","3600","0","test","2,5,9","3","","","","",""
"single-stim-button","54","255928","0.0-14.0-5.0","2030","2","digit-span","true","0","","3463","","","response","","","","","","3463","1000","test","2,5,9","3","SubmitButton","3463","9,5,2","reverse","true"
"html-keyboard-response","55","256936","0.0-15.0-0.0","2030","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>4 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","56","262752","0.0-15.0-1.0","2030","2","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>7</div></div>"",""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000,1000,1000]","4800","0","test","7,2,9,6","4","","","","",""
"single-stim-button","57","270101","0.0-15.0-2.0","2030","2","digit-span","true","0","","7349","","","response","","","","","","7349","1000","test","7,2,9,6","4","SubmitButton","7349","6,9,2,7","reverse","true"
"html-keyboard-response","58","271104","0.0-15.0-3.0","2030","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>4 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","59","276920","0.0-15.0-4.0","2030","2","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>8</div></div>"",""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>"",""<div class = centerbox><div class = digit-span-text>3</div></div>""]","[-1]","none","[1000,1000,1000,1000]","4800","0","test","8,4,9,3","4","","","","",""
"single-stim-button","60","295298","0.0-15.0-5.0","2030","2","digit-span","true","0","","18378","","","response","","","","","","18378","1000","test","8,4,9,3","4","SubmitButton","18378","3,9,4,8","reverse","true"
"html-keyboard-response","61","296303","0.0-16.0-0.0","2030","2","digit-span","true","0","","null","<div class = centerbox><div class = center-text>5 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
