"trial_type","trial_index","time_elapsed","internal_node_id","subject","exp_id","full_screen","focus_shifts","success","rt","stimulus","key_press","trial_id","view_history","stimuli","key_presses","possible_responses","stim_durations","block_duration","timing_post_trial","exp_stage","sequence","num_digits","mouse_click","stim_duration","response","condition","correct"
"pavlovia","0","2052","0.0-0.0","1130","digit-span","true","0","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","5966","0.0-1.0","1130","digit-span","true","0","true","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","11645","0.0-2.0-0.0","1130","digit-span","true","0","","5673.000000009779","<div class = centerbox><p class = center-block-text>Welcome to the number game! It will take less than 5 minutes. Press <strong>""Enter/Return""</strong> to begin.</p></div>","13","instruction","","","","","","","","","","","","","","",""
"instructions","3","33351","0.0-2.0-1.0","1130","digit-span","true","0","","21705.155000003288","","","instruction","[{""page_index"":0,""viewing_time"":21704.235000011977}]","","","","","","","","","","","","","",""
"instructions","4","44677","0.0-2.0-2.0","1130","digit-span","true","0","","10323.76500000828","","","instruction","[{""page_index"":0,""viewing_time"":10323.124999995343}]","","","","","","","","","","","","","",""
"html-keyboard-response","5","46681","0.0-3.0-0.0","1130","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","6","50098","0.0-3.0-1.0","1130","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>2</div></div>"",""<div class = centerbox><div class = digit-span-text>9</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","2,9","2","","","","",""
"single-stim-button","7","55471","0.0-3.0-2.0","1130","digit-span","true","0","","5368","","","response","","","","","","5368","1000","test","2,9","2","SubmitButton","5368","2,9","forward","true"
"html-keyboard-response","8","56474","0.0-3.0-3.0","1130","digit-span","true","0","","null","<div class = centerbox><div class = center-text>2 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
"poldrack-multi-stim-multi-response","9","59876","0.0-3.0-4.0","1130","digit-span","true","0","","[-1]","","","stim","","[""<div class = centerbox><div class = digit-span-text>4</div></div>"",""<div class = centerbox><div class = digit-span-text>6</div></div>""]","[-1]","none","[1000,1000]","2400","0","test","4,6","2","","","","",""
"single-stim-button","10","63709","0.0-3.0-5.0","1130","digit-span","true","0","","3830","","","response","","","","","","3830","1000","test","4,6","2","SubmitButton","3830","4,6","forward","true"
"html-keyboard-response","11","64711","0.0-4.0-0.0","1130","digit-span","true","0","","null","<div class = centerbox><div class = center-text>3 Digits</p></div>","null","test_intro","","","","","","","","","","","","","","",""
