"trial_type","trial_index","time_elapsed","internal_node_id","subject","order","exp_id","full_screen","focus_shifts","success"
"pavlovia","0","3327","0.0-0.0","2137","1","digit-span","true","0",""
"fullscreen","1","5647","0.0-1.0","2137","1","digit-span","true","0","true"
